City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,nagqu,31.5,92.0,8.16,92,100,1.2,CN,1721676351
294,pallasovka,50.05,46.8833,25.31,36,99,3.81,RU,1721676352
295,kinablangan,7.6947,126.5503,25.05,81,100,1.99,PH,1721676353
296,le coteau,46.0271,4.0869,21.01,89,0,2.81,FR,1721676354
297,koulamoutou,-1.1303,12.4736,26.29,48,15,0.88,GA,1721676355
298,kargat,55.1956,80.2811,14.73,96,56,2.73,RU,1721676356
299,la'ie,21.6477,-157.9253,27.98,76,6,4.02,US,1721676358
300,syumsi,57.1111,51.6149,10.57,84,44,2.27,RU,1721676359
301,punta arenas,-53.15,-70.9167,7.01,65,40,11.83,CL,1721676360
302,le port,-20.9373,55.2919,22.0,92,93,2.29,RE,1721676363
303,rabigh,22.7986,39.0349,32.61,48,100,1.25,SA,1721676364
304,enriquillo,17.9,-71.2333,32.82,58,0,5.66,DO,1721676366
305,singkil,-7.9855,111.4161,21.1,92,0,2.36,ID,1721676368
306,lokomotivnyy,53.0118,60.5684,14.08,97,26,4.32,RU,1721676369
307,nemuro,43.3236,145.575,17.35,91,100,5.69,JP,1721676370
308,zalingei,12.9096,23.4741,24.27,80,15,0.13,SD,1721676371
309,sandnessjoen,66.0217,12.6316,23.29,99,100,3.25,NO,1721676372
310,cole harbour,44.6724,-63.4751,26.57,48,40,6.17,CA,1721676373
311,susuman,62.7833,148.1667,15.36,85,100,1.24,RU,1721676375
312,fort st. john,56.2499,-120.8529,21.94,73,100,2.06,CA,1721676376
313,manado,1.487,124.8455,26.43,89,20,2.06,ID,1721676377
314,cidade velha,14.9167,-23.6167,27.26,65,75,4.12,CV,1721676378
315,parabel',58.6978,81.4825,14.3,64,99,3.26,RU,1721676379
316,gutierrez zamora,20.45,-97.0833,30.9,79,94,3.54,MX,1721676382
317,manicore,-5.8092,-61.3003,37.66,22,39,2.13,BR,1721676384
318,vadso,70.0744,29.7487,26.49,60,0,3.6,NO,1721676385
319,sharkawshchyna,55.3713,27.4706,20.76,60,86,0.92,BY,1721676386
320,portland,45.5234,-122.6762,23.16,54,75,4.12,US,1721676016
321,ghanzi,-21.5667,21.7833,18.56,14,1,3.71,BW,1721676388
322,buka,40.8108,69.1986,27.88,23,69,3.27,UZ,1721676390
323,inhambane,-23.865,35.3833,20.98,78,0,4.16,MZ,1721676391
324,mejit,10.2753,170.8646,28.18,78,28,7.88,MH,1721676392
325,san patricio,28.017,-97.5169,33.25,47,100,4.7,US,1721676393
326,klintsy,52.7602,32.2393,17.92,82,88,1.59,RU,1721676394
327,yeppoon,-23.1333,150.7333,11.81,83,37,3.87,AU,1721676395
328,tromso,69.6496,18.957,21.01,49,0,4.12,NO,1721676397
329,murovani kurylivtsi,48.7235,27.5189,21.74,60,86,1.16,UA,1721676399
330,robertsport,6.7533,-11.3686,25.74,80,94,7.33,LR,1721676400
331,zhaqsy,51.9083,67.3133,20.83,68,100,3.2,KZ,1721676401
332,la rinconada,37.4873,-5.9826,37.85,28,0,2.57,ES,1721676402
333,lorengau,-2.0226,147.2712,27.6,80,100,4.01,PG,1721676404
334,peace river,56.2501,-117.286,28.17,61,0,5.66,CA,1721676405
335,laguna,38.421,-121.4238,37.88,37,0,2.06,US,1721676406
336,yuzhno-kurilsk,44.0306,145.8556,16.63,99,100,0.84,RU,1721676407
337,port-vila,-17.7338,168.3219,21.78,100,100,4.63,VU,1721676408
338,kourou,5.1552,-52.6478,32.03,69,21,5.19,GF,1721676409
339,myitkyina,25.3833,97.4,23.81,99,100,0.38,MM,1721676411
340,natal,-5.795,-35.2094,27.36,69,75,9.26,BR,1721676242
341,mournies,35.4764,24.0092,29.22,51,0,7.72,GR,1721676413
342,qamdo,31.1667,97.2333,10.74,85,100,0.25,CN,1721676414
343,bayji,34.9311,43.487,38.71,12,0,2.81,IQ,1721676415
344,boguchany,58.3814,97.4531,21.05,74,100,0.92,RU,1721676416
345,mafraq,32.3333,37.9167,31.21,28,0,6.66,JO,1721676417
346,luderitz,-26.6481,15.1594,12.98,79,78,1.63,NA,1721676419
347,weno,7.4515,151.8468,28.65,77,100,3.95,FM,1721676420
348,great falls,47.5002,-111.3008,31.76,31,0,3.09,US,1721676421
349,wenchang,30.904,118.4887,29.05,75,96,1.88,CN,1721676422
350,uruzgan,32.8333,66.0,26.62,14,0,0.61,AF,1721676423
351,lata,40.1629,-8.3327,27.44,33,0,1.51,PT,1721676426
352,geraldton,-28.7667,114.6,17.23,94,75,4.12,AU,1721676427
353,mushie,-3.0167,16.9,26.48,45,10,1.33,CD,1721676428
354,ulsteinvik,62.3432,5.8487,16.28,80,98,1.34,NO,1721676429
355,pahrump,36.2083,-115.9839,41.02,19,0,1.79,US,1721676430
356,cartagena,10.3997,-75.5144,33.79,59,20,5.66,CO,1721676194
357,vilyuchinsk,52.9306,158.4028,14.15,97,100,1.07,RU,1721676432
358,edson,53.5835,-116.4356,26.08,57,0,2.57,CA,1721676370
359,fortuna,40.5982,-124.1573,16.66,92,100,5.14,US,1721676435
360,kerikeri,-35.2268,173.9474,9.95,91,12,2.31,NZ,1721676436
361,broome,42.2506,-75.833,24.77,43,100,3.77,US,1721676437
362,keflavik,64.0049,-22.5624,10.95,81,100,7.2,IS,1721676438
363,bilao,11.488,122.5599,24.51,94,100,1.12,PH,1721676439
364,vila do maio,15.1333,-23.2167,27.44,73,80,2.21,CV,1721676441
365,ciudad cuauhtemoc,22.1833,-97.8333,28.06,78,75,3.09,MX,1721676442
